mouse,sex,treatment,microb,total_worms,day_num,mass,sac_day
1_LP,F,worm,lo,,-5,25.25,14
1_RP,F,worm,lo,,-5,22,14
2_LP,M,worm,lo,,-5,30.2,14
2_RLP,M,worm,lo,,-5,30.9,14
4_RP1,F,worm,lo,,-5,22.42,14
6_LP20,M,worm,lo,,-5,27.62,14
7_LP,M,worm,lo,,-5,31,14
8_RLP,M,worm,lo,,-5,28.32,14
10_LLP,F,worm,lo,,-5,22.2,14
10_RP,F,worm,lo,,-5,23.4,14
14_LP,F,worm,hi,,-5,19.8,14
15_LP,F,worm,hi,,-5,21.4,14
15_RP,F,worm,hi,,-5,20,14
16_LLP,M,worm,hi,,-5,25.1,14
16_RLP,M,worm,hi,,-5,26,14
17_RRP,F,worm,hi,,-5,20.7,14
18_RP,F,worm,hi,,-5,20.89,14
19_RLP,M,worm,hi,,-5,25.9,14
3_RLP,F,worm,lo,,-5,27.9,41
3_RP,F,worm,lo,,-5,27.8,41
4_LP20,F,worm,lo,,-5,25.34,41
4_LP30,F,worm,lo,,-5,22.16,41
4_RP2,F,worm,lo,,-5,25.4,41
4_RP3,F,worm,lo,,-5,22.2,41
5_LP20,F,worm,lo,,-5,21.8,41
5_LP30,F,worm,lo,,-5,21.9,41
5_RP3,F,worm,lo,,-5,21.9,41
6_LP10,M,worm,lo,,-5,29.02,41
6_RP1,M,worm,lo,,-5,29.5,41
6_RP2,M,worm,lo,,-5,25.37,41
7_RLP,M,worm,lo,,-5,29.43,41
7_RP,M,worm,lo,,-5,31.8,41
8_LP,M,worm,lo,,-5,30.98,41
8_RP,M,worm,lo,,-5,30.55,41
9_LLP,M,worm,lo,,-5,27,41
9_LP,M,worm,lo,,-5,26.6,41
9_RP,M,worm,lo,,-5,26.8,41
9_RRP,M,worm,lo,,-5,28.9,41
10_LP,F,worm,lo,,-5,20.5,41
10_RLP,F,worm,lo,,-5,23.7,41
10_RRP,F,worm,lo,,-5,20.42,41
11_RLP,F,control,lo,,-5,24.84,41
11_RRP,F,control,lo,,-5,24.7,41
12_LP,M,control,lo,,-5,32.4,41
12_RP,M,control,lo,,-5,30.5,41
13_RP1,F,control,lo,,-5,23.8,41
13_RP2,F,control,lo,,-5,24.9,41
14_RLP,F,worm,hi,,-5,21.3,41
14_RP,F,worm,hi,,-5,22.2,41
15_RLP,F,worm,hi,,-5,20.6,41
15_RRP,F,worm,hi,,-5,20.2,41
17_LLP,F,worm,hi,,-5,19.7,41
17_RLP,F,worm,hi,,-5,21.4,41
18_LP,F,worm,hi,,-5,20.1,41
18_RLP,F,worm,hi,,-5,21,41
18_RRP,F,worm,hi,,-5,20.9,41
19_LP,M,worm,hi,,-5,22.3,41
19_RP,M,worm,hi,,-5,25.4,41
20_LP,M,control,hi,,-5,26,41
20_RP,M,control,hi,,-5,26.2,41
21_LP,F,control,hi,,-5,20.3,41
21_RP,F,control,hi,,-5,20.8,41
1_LP,F,worm,lo,18,14,26.29,14
1_RP,F,worm,lo,32,14,23.06,14
2_RLP,M,worm,lo,6,14,29.81,14
4_RP1,F,worm,lo,5,14,22.21,14
6_LP20,M,worm,lo,18,14,27.78,14
7_LP,M,worm,lo,13,14,31.13,14
8_RLP,M,worm,lo,24,14,28.02,14
10_LLP,F,worm,lo,20,14,23.6,14
10_RP,F,worm,lo,3,14,23.54,14
14_LP,F,worm,hi,126,14,18.88,14
15_LP,F,worm,hi,13,14,20.83,14
15_RP,F,worm,hi,19,14,19.37,14
16_LLP,M,worm,hi,8,14,23.13,14
16_RLP,M,worm,hi,31,14,24.82,14
17_RRP,F,worm,hi,23,14,21.34,14
18_RP,F,worm,hi,31,14,19.83,14
19_RLP,M,worm,hi,25,14,24.67,14
3_RLP,F,worm,lo,,14,28.5,41
3_RP,F,worm,lo,,14,27.9,41
4_LP20,F,worm,lo,,14,26.9,41
4_LP30,F,worm,lo,,14,23,41
4_RP2,F,worm,lo,,14,27.3,41
4_RP3,F,worm,lo,,14,22.5,41
5_LP20,F,worm,lo,,14,26.5,41
5_LP30,F,worm,lo,,14,23.9,41
5_RP3,F,worm,lo,,14,24.3,41
6_LP10,M,worm,lo,,14,30.25,41
6_RP1,M,worm,lo,,14,30.1,41
6_RP2,M,worm,lo,,14,27.95,41
7_RLP,M,worm,lo,,14,31.6,41
7_RP,M,worm,lo,,14,35.6,41
8_LP,M,worm,lo,,14,32.9,41
8_RP,M,worm,lo,,14,31.9,41
9_LLP,M,worm,lo,,14,29,41
9_LP,M,worm,lo,,14,28.45,41
9_RP,M,worm,lo,,14,28.5,41
9_RRP,M,worm,lo,,14,29.8,41
10_LP,F,worm,lo,,14,21.3,41
10_RLP,F,worm,lo,,14,25.1,41
10_RRP,F,worm,lo,,14,23.5,41
11_RLP,F,control,lo,,14,26.4,41
11_RRP,F,control,lo,,14,26.15,41
12_LP,M,control,lo,,14,33,41
12_RP,M,control,lo,,14,30.85,41
13_RP1,F,control,lo,,14,25.65,41
13_RP2,F,control,lo,,14,26.4,41
14_RLP,F,worm,hi,,14,21.5,41
14_RP,F,worm,hi,,14,22.6,41
15_RLP,F,worm,hi,,14,20.4,41
15_RRP,F,worm,hi,,14,21.8,41
17_LLP,F,worm,hi,,14,21.6,41
17_RLP,F,worm,hi,,14,22,41
18_LP,F,worm,hi,,14,20.5,41
18_RLP,F,worm,hi,,14,21.3,41
18_RRP,F,worm,hi,,14,21,41
19_LP,M,worm,hi,,14,23.1,41
19_RP,M,worm,hi,,14,26.2,41
20_LP,M,control,hi,,14,26.5,41
20_RP,M,control,hi,,14,26.4,41
21_LP,F,control,hi,,14,22,41
21_RP,F,control,hi,,14,20.9,41
3_RLP,F,worm,lo,,41,27.75,41
3_RP,F,worm,lo,,41,27.98,41
4_LP20,F,worm,lo,,41,27.05,41
4_LP30,F,worm,lo,,41,22.4,41
4_RP2,F,worm,lo,,41,27.14,41
4_RP3,F,worm,lo,,41,21.85,41
5_LP20,F,worm,lo,,41,24.21,41
5_LP30,F,worm,lo,,41,22.3,41
5_RP3,F,worm,lo,,41,23.8,41
6_LP10,M,worm,lo,,41,29.21,41
6_RP1,M,worm,lo,,41,30,41
6_RP2,M,worm,lo,,41,27.73,41
7_RLP,M,worm,lo,,41,31.4,41
7_RP,M,worm,lo,,41,33.46,41
8_LP,M,worm,lo,,41,33.98,41
8_RP,M,worm,lo,,41,32.45,41
9_LLP,M,worm,lo,,41,28.2,41
9_LP,M,worm,lo,,41,27.3,41
9_RP,M,worm,lo,,41,27.49,41
9_RRP,M,worm,lo,,41,27.39,41
10_LP,F,worm,lo,,41,21.57,41
10_RLP,F,worm,lo,,41,25.26,41
10_RRP,F,worm,lo,,41,23.36,41
11_RLP,F,control,lo,,41,26.21,41
11_RRP,F,control,lo,,41,26.21,41
12_LP,M,control,lo,,41,32.85,41
12_RP,M,control,lo,,41,31.38,41
13_RP1,F,control,lo,,41,25.43,41
13_RP2,F,control,lo,,41,26.98,41
14_RLP,F,worm,hi,,41,20.32,41
14_RP,F,worm,hi,,41,21.7,41
15_RLP,F,worm,hi,,41,19.63,41
15_RRP,F,worm,hi,,41,21.28,41
17_LLP,F,worm,hi,,41,20.85,41
17_RLP,F,worm,hi,,41,21.43,41
18_LP,F,worm,hi,,41,20.32,41
18_RLP,F,worm,hi,,41,21.01,41
18_RRP,F,worm,hi,,41,21.07,41
19_LP,M,worm,hi,,41,23.16,41
19_RP,M,worm,hi,,41,25.3,41
20_LP,M,control,hi,,41,25.49,41
20_RP,M,control,hi,,41,25.04,41
21_LP,F,control,hi,,41,21.34,41
21_RP,F,control,hi,,41,18.32,41