,GNomexID,run,number,plate,well,sample_type,samp_date,sac_day,day,infection_status,mouse,cage,ear,sex,treatment,microb,DOB,moved_to_SB,moved_from_bubble,age,location,out_of_bubble,PlatePosition,breeding,sample_group,description,LanePosition,RawReads1st,RerunReads,lane,Nanostring_sample,metabolomics_sample,Observed,sum,Shannon,PD,SR,row,cage_day
8_LP_D14,19266X182,19266,182,3,14,sample,5/15/21,D41,D14,infected,8_LP,8,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,107,SouthBio,66,F2,NA,exp,NA,182,10006,NA,Original_Lane1,NA,NA,51,3976,2.266196176,5.188776119,51,8_LP_D14,8D14
8_LP_D28,19266X189,19266,189,3,70,sample,5/28/21,D41,D28,cleared,8_LP,8,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,120,SouthBio,79,F9,NA,exp,NA,189,6697,NA,Original_Lane1,NA,NA,49,2768,2.109946853,4.960399692,49,8_LP_D28,8D28
8_LP_D41,19267X125,19267,125,NA,NA,sample,6/10/21,D41,D41,cleared,8_LP,8,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,30704,Rerun,NA,21,51,15245,2.171675741,5.544355096,51,8_LP_D41,8D41
8_LP_pre,19267X51,19267,51,1,51,sample,4/24/21,D41,D-5,pretreat,8_LP,8,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,86,SouthBio,45,E3,NA,exp,NA,51,66286,NA,Original_Lane2,NA,NA,30,34373,1.709877079,3.208922611,30,8_LP_pre,8D-5
8_RLP_D1,19267X35,19267,35,1,35,sample,5/1/21,D14,D1,infected,8_RLP,8,RLP,M,worm,LO,1/28/21,3/23/21,3/10/21,93,SouthBio,52,C11,NA,exp,NA,35,43178,NA,Original_Lane2,NA,NA,43,23861,1.869003453,4.602926674,43,8_RLP_D1,8D1
8_RLP_D10,19266X31,19266,31,2,49,sample,5/10/21,D14,D10,infected,8_RLP,8,RLP,M,worm,LO,1/28/21,3/23/21,3/10/21,102,SouthBio,61,A7,NA,exp,NA,31,13524,NA,Original_Lane1,NA,NA,58,7116,2.669754434,5.87608814,58,8_RLP_D10,8D10
8_RLP_D14,19266X194,19266,194,3,15,sample,5/14/21,D14,D14,infected,8_RLP,8,RLP,M,worm,LO,1/28/21,3/23/21,3/10/21,106,SouthBio,65,G2,NA,exp,NA,194,11243,NA,Original_Lane1,NA,NA,64,5080,2.024051654,5.561666014,64,8_RLP_D14,8D14
8_RLP_pre,19267X63,19267,63,1,63,sample,4/24/21,D14,D-5,pretreat,8_RLP,8,RLP,M,worm,LO,1/28/21,3/23/21,3/10/21,86,SouthBio,45,F3,NA,exp,NA,63,44484,NA,Original_Lane2,NA,NA,23,23547,1.825987424,2.745626512,23,8_RLP_pre,8D-5
8_RP_D1,19267X47,19267,47,1,47,sample,5/1/21,D41,D1,infected,8_RP,8,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,93,SouthBio,52,D11,NA,exp,NA,47,54557,NA,Original_Lane2,NA,NA,46,29929,1.8603908,4.819540304,46,8_RP_D1,8D1
8_RP_D10,19266X43,19266,43,2,50,sample,5/10/21,D41,D10,infected,8_RP,8,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,102,SouthBio,61,B7,NA,exp,NA,43,24253,NA,Original_Lane1,NA,NA,59,12892,2.850085281,5.780780128,59,8_RP_D10,8D10
8_RP_D14,19266X206,19266,206,3,16,sample,5/15/21,D41,D14,infected,8_RP,8,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,107,SouthBio,66,H2,NA,exp,NA,206,4301,46823,Rerun,NA,NA,58,26215,2.141179,5.765875409,58,8_RP_D14,8D14
8_RP_D28,19266X201,19266,201,3,71,sample,5/28/21,D41,D28,cleared,8_RP,8,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,120,SouthBio,79,G9,NA,exp,NA,201,5015,NA,Original_Lane1,NA,NA,43,2302,2.222704019,4.953563146,43,8_RP_D28,8D28
8_RP_D31,19267X86,19267,86,4,10,sample,5/31/21,D41,D31,cleared,8_RP,8,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,123,SouthBio,82,B2,NA,exp,NA,86,12455,NA,Original_Lane2,NA,NA,56,5675,2.49874729,5.734344861,56,8_RP_D31,8D31
8_RP_D41,19267X136,19267,136,NA,NA,sample,6/10/21,D41,D41,cleared,8_RP,8,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,50494,Rerun,8,22,55,29551,2.605202852,5.561691735,55,8_RP_D41,8D41
8_RP_pre,19266X3,19266,3,1,75,sample,4/24/21,D41,D-5,pretreat,8_RP,8,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,86,SouthBio,45,G3,NA,exp,NA,3,92238,NA,Original_Lane1,NA,NA,23,42915,1.867945726,2.881636969,23,8_RP_pre,8D-5
9_1,18684X179,18684,179,6,NA,breeder,NA,none,none,other,pretreat_bubble,a1_Female,NA,F,pretreat_bubble,LO,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t3,9Days_PostGavage1_3PostGavage3,179,NA,NA,Prerun,NA,NA,16,1630,1.750997768,2.384673288,16,9_1,a1_Femalenone
9_2,18684X180,18684,180,6,NA,breeder,NA,none,none,other,pretreat_bubble,a2_Female,NA,F,pretreat_bubble,LO,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t3,9Days_PostGavage1_3PostGavage3,180,NA,NA,Prerun,NA,NA,21,3181,1.405100786,2.775721467,21,9_2,a2_Femalenone
9_3,18684X181,18684,181,6,NA,breeder,NA,none,none,other,pretreat_bubble,a3_Male,NA,M,pretreat_bubble,LO,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t3,9Days_PostGavage1_3PostGavage3,181,NA,NA,Prerun,NA,NA,15,3351,1.016649673,2.404145179,15,9_3,a3_Malenone
9_LLP_D1,19267X59,19267,59,1,59,sample,5/1/21,D41,D1,infected,9_LLP,9,LLP,M,worm,LO,2/1/21,3/23/21,3/10/21,89,SouthBio,52,E11,NA,exp,NA,59,83999,NA,Original_Lane2,NA,NA,34,45880,2.008719095,3.926878668,34,9_LLP_D1,9D1
9_LLP_D10,19266X55,19266,55,2,51,sample,5/10/21,D41,D10,infected,9_LLP,9,LLP,M,worm,LO,2/1/21,3/23/21,3/10/21,98,SouthBio,61,C7,NA,exp,NA,55,18353,NA,Original_Lane1,NA,NA,73,9476,2.1345977,5.990347549,73,9_LLP_D10,9D10
9_LLP_D14,19266X123,19266,123,3,17,sample,5/15/21,D41,D14,infected,9_LLP,9,LLP,M,worm,LO,2/1/21,3/23/21,3/10/21,103,SouthBio,66,A3,NA,exp,NA,123,7651,7697,Rerun,NA,NA,54,3963,1.781425836,4.843780724,54,9_LLP_D14,9D14
9_LLP_D28,19266X213,19266,213,3,72,sample,5/28/21,D41,D28,cleared,9_LLP,9,LLP,M,worm,LO,2/1/21,3/23/21,3/10/21,116,SouthBio,79,H9,NA,exp,NA,213,4285,47679,Rerun,NA,NA,79,20658,3.294887432,5.784580019,79,9_LLP_D28,9D28
9_LLP_D31,19267X98,19267,98,4,11,sample,5/31/21,D41,D31,cleared,9_LLP,9,LLP,M,worm,LO,2/1/21,3/23/21,3/10/21,119,SouthBio,82,C2,NA,exp,NA,98,10756,NA,Original_Lane2,NA,NA,72,4827,3.199150767,5.689713009,72,9_LLP_D31,9D31
9_LLP_D41,19267X147,19267,147,NA,NA,sample,6/10/21,D41,D41,cleared,9_LLP,9,LLP,M,worm,LO,2/1/21,3/23/21,3/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,12055,Rerun,NA,7,73,5776,2.396045042,5.749547613,73,9_LLP_D41,9D41
9_LLP_pre,19266X15,19266,15,1,87,sample,4/24/21,D41,D-5,pretreat,9_LLP,9,LLP,M,worm,LO,2/1/21,3/23/21,3/10/21,82,SouthBio,45,H3,NA,exp,NA,15,21789,NA,Original_Lane1,NA,NA,31,9285,2.059274081,3.607238225,31,9_LLP_pre,9D-5
9_LP_D1,19267X71,19267,71,1,71,sample,5/1/21,D41,D1,infected,9_LP,9,LP,M,worm,LO,2/1/21,3/23/21,3/10/21,89,SouthBio,52,F11,NA,exp,NA,71,47559,NA,Original_Lane2,NA,NA,31,25769,1.959225598,3.976086117,31,9_LP_D1,9D1
9_LP_D10,19266X67,19266,67,2,52,sample,5/10/21,D41,D10,infected,9_LP,9,LP,M,worm,LO,2/1/21,3/23/21,3/10/21,98,SouthBio,61,D7,NA,exp,NA,67,28859,NA,Original_Lane1,NA,NA,71,14687,2.224368475,5.818117421,71,9_LP_D10,9D10
9_LP_D14,19266X135,19266,135,3,18,sample,5/15/21,D41,D14,infected,9_LP,9,LP,M,worm,LO,2/1/21,3/23/21,3/10/21,103,SouthBio,66,B3,NA,exp,NA,135,15864,NA,Original_Lane1,NA,NA,65,5958,3.018603315,5.165555297,65,9_LP_D14,9D14
9_LP_D28,19266X130,19266,130,3,73,sample,5/28/21,D41,D28,cleared,9_LP,9,LP,M,worm,LO,2/1/21,3/23/21,3/10/21,116,SouthBio,79,A10,NA,exp,NA,130,6134,NA,Original_Lane1,NA,NA,66,2729,2.641113161,5.254319836,66,9_LP_D28,9D28
9_LP_D41,19267X158,19267,158,NA,NA,sample,6/10/21,D41,D41,cleared,9_LP,9,LP,M,worm,LO,2/1/21,3/23/21,3/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,36825,Rerun,NA,NA,80,19049,2.420609997,6.287667142,80,9_LP_D41,9D41
9_LP_pre,19267X4,19267,4,1,4,sample,4/24/21,D41,D-5,pretreat,9_LP,9,LP,M,worm,LO,2/1/21,3/23/21,3/10/21,82,SouthBio,45,A4,NA,exp,NA,4,102316,NA,Original_Lane2,NA,NA,30,48752,1.931176906,3.510361181,30,9_LP_pre,9D-5
9_RP_D1,19266X11,19266,11,1,83,sample,5/1/21,D41,D1,infected,9_RP,9,RP,M,worm,LO,2/1/21,3/23/21,3/10/21,89,SouthBio,52,G11,NA,exp,NA,11,104404,NA,Original_Lane1,NA,NA,30,52162,1.865742485,3.791655257,30,9_RP_D1,9D1
9_RP_D10,19266X79,19266,79,2,53,sample,5/10/21,D41,D10,infected,9_RP,9,RP,M,worm,LO,2/1/21,3/23/21,3/10/21,98,SouthBio,61,E7,NA,exp,NA,79,17379,NA,Original_Lane1,NA,NA,67,8708,3.245759384,5.270652085,67,9_RP_D10,9D10
9_RP_D14,19266X147,19266,147,3,19,sample,5/15/21,D41,D14,infected,9_RP,9,RP,M,worm,LO,2/1/21,3/23/21,3/10/21,103,SouthBio,66,C3,NA,exp,NA,147,8642,44820,Rerun,NA,NA,68,21234,1.978252795,5.548025815,68,9_RP_D14,9D14
9_RP_D28,19266X142,19266,142,3,74,sample,5/28/21,D41,D28,cleared,9_RP,9,RP,M,worm,LO,2/1/21,3/23/21,3/10/21,116,SouthBio,79,B10,NA,exp,NA,142,9627,NA,Original_Lane1,NA,NA,64,3740,2.861079347,4.913829625,64,9_RP_D28,9D28
9_RP_D41,19267X78,19267,78,4,41,sample,6/10/21,D41,D41,cleared,9_RP,9,RP,M,worm,LO,2/1/21,3/23/21,3/10/21,129,SouthBio,92,A6,NA,exp,NA,78,234,47959,Rerun,NA,NA,83,20390,2.073716311,6.145764448,83,9_RP_D41,9D41
9_RP_pre,19267X16,19267,16,1,16,sample,4/24/21,D41,D-5,pretreat,9_RP,9,RP,M,worm,LO,2/1/21,3/23/21,3/10/21,82,SouthBio,45,B4,NA,exp,NA,16,44736,NA,Original_Lane2,NA,NA,32,22337,1.883792184,3.466738066,32,9_RP_pre,9D-5
9_RRP_D1,19266X23,19266,23,1,95,sample,5/1/21,D41,D1,infected,9_RRP,9,RRP,M,worm,LO,2/1/21,3/23/21,3/10/21,89,SouthBio,52,H11,NA,exp,NA,23,10853,NA,Original_Lane1,NA,NA,24,5162,1.958723544,3.423225604,24,9_RRP_D1,9D1
9_RRP_D10,19266X91,19266,91,2,54,sample,5/10/21,D41,D10,infected,9_RRP,9,RRP,M,worm,LO,2/1/21,3/23/21,3/10/21,98,SouthBio,61,F7,NA,exp,NA,91,15563,NA,Original_Lane1,NA,NA,73,7336,3.140030767,5.609474882,73,9_RRP_D10,9D10
9_RRP_D14,19266X159,19266,159,3,20,sample,5/15/21,D41,D14,infected,9_RRP,9,RRP,M,worm,LO,2/1/21,3/23/21,3/10/21,103,SouthBio,66,D3,NA,exp,NA,159,10715,NA,Original_Lane1,NA,NA,65,4580,2.558057564,5.456082992,65,9_RRP_D14,9D14
9_RRP_D28,19266X154,19266,154,3,75,sample,5/28/21,D41,D28,cleared,9_RRP,9,RRP,M,worm,LO,2/1/21,3/23/21,3/10/21,116,SouthBio,79,C10,NA,exp,NA,154,5393,NA,Original_Lane1,NA,NA,54,2489,2.065935093,4.625734294,54,9_RRP_D28,9D28
9_RRP_D31,19267X110,19267,110,4,12,sample,5/31/21,D41,D31,cleared,9_RRP,9,RRP,M,worm,LO,2/1/21,3/23/21,3/10/21,119,SouthBio,82,D2,NA,exp,NA,110,16247,NA,Original_Lane2,NA,NA,68,6932,2.949361476,5.438189444,68,9_RRP_D31,9D31
9_RRP_D41,19267X90,19267,90,4,42,sample,6/10/21,D41,D41,cleared,9_RRP,9,RRP,M,worm,LO,2/1/21,3/23/21,3/10/21,129,SouthBio,92,B6,NA,exp,NA,90,272,34751,Rerun,NA,NA,84,17934,2.499583177,6.230017122,84,9_RRP_D41,9D41
9_RRP_pre,19267X28,19267,28,1,28,sample,4/24/21,D41,D-5,pretreat,9_RRP,9,RRP,M,worm,LO,2/1/21,3/23/21,3/10/21,82,SouthBio,45,C4,NA,exp,NA,28,47422,NA,Original_Lane2,NA,NA,33,21163,1.905440697,3.500463609,33,9_RRP_pre,9D-5
Blank2,19266X120,19266,120,2,96,blank,NA,none,none,other,blank,other,NA,none,other,blank,NA,NA,NA,NA,NA,NA,H12,NA,Blank,NA,120,5046,NA,Original_Lane1,NA,NA,4,19,1.118406655,1.415772871,4,Blank2,othernone
Blank3,19266X164,19266,164,3,60,blank,NA,none,none,other,blank,other,NA,none,other,blank,NA,NA,NA,NA,NA,NA,D8,NA,Blank,NA,164,228,116,Rerun,NA,NA,5,17,1.41613968,1.272113008,5,Blank3,othernone
Blank4,19267X114,19267,114,4,44,blank,NA,none,none,other,blank,other,NA,none,other,blank,NA,NA,NA,NA,NA,NA,D6,NA,Blank,NA,114,10,65,Rerun,NA,NA,3,11,0.907535294,0.928835213,3,Blank4,othernone
BP1_1,18684X182,18684,182,6,NA,breeder,NA,none,none,other,pretreat_bubble,BP_1,NA,MF,pretreat_bubble,LO,NA,NA,NA,NA,NA,NA,NA,yes,P0_fecal_t4,Breeders_1MonthPostGavage1,182,NA,NA,Prerun,NA,NA,18,5517,1.430267992,2.606436661,18,BP1_1,BP_1none
BP1_2,18684X183,18684,183,6,NA,breeder,NA,none,none,other,pretreat_bubble,BP_2,NA,MF,pretreat_bubble,LO,NA,NA,NA,NA,NA,NA,NA,yes,P0_fecal_t4,Breeders_1MonthPostGavage1,183,NA,NA,Prerun,NA,NA,17,3810,1.58972259,2.488356066,17,BP1_2,BP_2none
BP1_3,18684X184,18684,184,6,NA,breeder,NA,none,none,other,pretreat_bubble,BP_3,NA,MF,pretreat_bubble,LO,NA,NA,NA,NA,NA,NA,NA,yes,P0_fecal_t4,Breeders_1MonthPostGavage1,184,NA,NA,Prerun,NA,NA,14,3314,1.679004392,2.511372756,14,BP1_3,BP_3none
BP1_4,18684X185,18684,185,6,NA,breeder,NA,none,none,other,pretreat_bubble,BP_4,NA,MF,pretreat_bubble,LO,NA,NA,NA,NA,NA,NA,NA,yes,P0_fecal_t4,Breeders_1MonthPostGavage1,185,NA,NA,Prerun,NA,NA,16,3764,1.57482266,2.492418794,16,BP1_4,BP_4none
D6300_ZMB,18684X189,18684,189,6,NA,mock,NA,none,none,other,mock,other,NA,none,other,mock,NA,NA,NA,NA,NA,NA,NA,NA,PosControl,ZymoEvenMockCommunity,189,NA,NA,Prerun,NA,NA,8,2703,1.778967108,1.381951935,8,D6300_ZMB,othernone
D6310_ZMB,18684X190,18684,190,6,NA,mock,NA,none,none,other,mock,other,NA,none,other,mock,NA,NA,NA,NA,NA,NA,NA,NA,PosControl,ZymoLogMockCommunity,190,NA,NA,Prerun,NA,NA,16,2049,1.126744163,2.328754912,16,D6310_ZMB,othernone
G1,18684X186,18684,186,6,NA,gavage_control,NA,none,none,other,blank,a3,NA,none,other,M13.H8.B2.K11,NA,NA,NA,NA,NA,NA,NA,NA,gavage_1,GavageMix,186,NA,NA,Prerun,NA,NA,12,7372,0.874539243,1.995198033,12,G1,a3none
G2,18684X187,18684,187,6,NA,gavage_control,NA,none,none,other,blank,a1,NA,none,other,Anaerobes,NA,NA,NA,NA,NA,NA,NA,NA,gavage_2,GavageMix,187,NA,NA,Prerun,NA,NA,13,503,1.909926955,2.563702248,13,G2,a1none
G3,18684X188,18684,188,6,NA,gavage_control,NA,none,none,other,blank,a2,NA,none,other,All_LO,NA,NA,NA,NA,NA,NA,NA,NA,gavage_3,GavageMix,188,NA,NA,Prerun,NA,NA,16,2388,1.989688245,2.764355814,16,G3,a2none
L013_10Feb,19267X151,19267,151,4,71,sample,2/10/21,D14,pre,pretreat,1_RP,1,RP,F,worm,LO,1/9/21,3/23/21,2/10/21,32,HCI,0,G9,NA,exp,NA,151,4587,28008,Rerun,NA,NA,28,15203,1.762076433,3.235493815,28,L013_10Feb,1pre
L013_11Mar,19267X162,19267,162,4,72,sample,3/11/21,D14,pre,pretreat,1_RP,1,RP,F,worm,LO,1/9/21,3/23/21,2/10/21,61,HCI,29,H9,NA,exp,NA,162,2977,41031,Rerun,NA,NA,18,22468,1.844351236,2.737640757,18,L013_11Mar,1pre
L013_16Mar,19267X82,19267,82,4,73,sample,3/16/21,D14,pre,pretreat,1_RP,1,RP,F,worm,LO,1/9/21,3/23/21,2/10/21,66,HCI,34,A10,NA,exp,NA,82,5232,26228,Rerun,NA,NA,26,12255,1.745471407,2.994754908,26,L013_16Mar,1pre
L015_10Feb,19267X94,19267,94,4,74,sample,2/10/21,D41,pre,pretreat,11_RLP,11,RLP,F,control,LO,1/9/21,3/23/21,2/10/21,32,HCI,0,B10,NA,exp,NA,94,6875,NA,Original_Lane2,NA,NA,15,3586,1.680767249,2.466977234,15,L015_10Feb,11pre
L020_10Feb,19267X106,19267,106,4,75,sample,2/10/21,D41,pre,pretreat,3_RP,3,RP,F,worm,LO,1/3/21,3/23/21,2/10/21,38,HCI,0,C10,NA,exp,NA,106,4033,NA,Original_Lane2,NA,NA,15,2169,1.76587945,2.515662091,15,L020_10Feb,3pre
L020_16Mar,19267X118,19267,118,4,76,sample,3/16/21,D41,pre,pretreat,3_RP,3,RP,F,worm,LO,1/3/21,3/23/21,2/10/21,72,HCI,34,D10,NA,exp,NA,118,7344,NA,Original_Lane2,NA,NA,18,4089,1.468135964,2.49471052,18,L020_16Mar,3pre
L022_10Feb,19267X130,19267,130,4,77,sample,2/10/21,D41,pre,pretreat,3_RLP,3,RLP,F,worm,LO,1/3/21,3/23/21,2/10/21,38,HCI,0,E10,NA,exp,NA,130,5914,NA,Original_Lane2,NA,NA,13,3078,1.517859485,2.466977234,13,L022_10Feb,3pre
L025_11Mar,19267X152,19267,152,4,79,sample,3/11/21,D14,pre,pretreat,4_RP1,4,RP1,F,worm,LO,1/18/21,3/23/21,2/25/21,52,HCI,14,G10,NA,exp,NA,152,3643,23227,Rerun,NA,NA,33,11946,1.987032878,3.757141151,33,L025_11Mar,4pre
L025_25Feb,19267X141,19267,141,4,78,sample,2/25/21,D14,pre,pretreat,4_RP1,4,RP1,F,worm,LO,1/18/21,3/23/21,2/25/21,38,HCI,0,F10,NA,exp,NA,141,3722,32332,Rerun,NA,NA,18,16921,1.699319925,2.887963923,18,L025_25Feb,4pre
L026_11Mar,19267X83,19267,83,4,81,sample,3/11/21,D41,pre,pretreat,4_RP2,4,RP2,F,worm,LO,1/18/21,3/23/21,2/25/21,52,HCI,14,A11,NA,exp,NA,83,9416,NA,Original_Lane2,NA,NA,20,4950,1.868553473,2.649866043,20,L026_11Mar,4pre
L026_25Feb,19267X163,19267,163,4,80,sample,2/25/21,D41,pre,pretreat,4_RP2,4,RP2,F,worm,LO,1/18/21,3/23/21,2/25/21,38,HCI,0,H10,NA,exp,NA,163,2091,40678,Rerun,NA,NA,22,19801,1.571332302,2.601240126,22,L026_25Feb,4pre
L033_11Mar,19267X107,19267,107,4,83,sample,3/11/21,D41,pre,pretreat,5_LP20,5,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,52,HCI,14,C11,NA,exp,NA,107,10433,NA,Original_Lane2,NA,NA,19,5711,1.70023571,2.701121485,19,L033_11Mar,5pre
L033_16Mar,19267X119,19267,119,4,84,sample,3/16/21,D41,pre,pretreat,5_LP20,5,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,57,HCI,19,D11,NA,exp,NA,119,14273,NA,Original_Lane2,NA,NA,17,7339,1.822826314,2.58503535,17,L033_16Mar,5pre
L033_25Feb,19267X95,19267,95,4,82,sample,2/25/21,D41,pre,pretreat,5_LP20,5,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,38,HCI,0,B11,NA,exp,NA,95,14831,NA,Original_Lane2,NA,NA,19,7637,1.62371214,2.649866048,19,L033_25Feb,5pre
L034_25Feb,19267X131,19267,131,4,85,sample,2/25/21,D41,pre,pretreat,5_LP30,5,LP30,F,worm,LO,1/18/21,3/23/21,2/25/21,38,HCI,0,E11,NA,exp,NA,131,12121,NA,Original_Lane2,NA,NA,15,6308,1.665599209,2.486962921,15,L034_25Feb,5pre
L036_25Feb,19267X142,19267,142,4,86,sample,2/25/21,D41,pre,pretreat,6_RP2,6,RP2,M,worm,LO,1/18/21,4/16/21,2/25/21,38,HCI,0,F11,NA,exp,NA,142,7166,NA,Original_Lane2,NA,NA,14,3803,1.528516025,2.49471051,14,L036_25Feb,6pre
L040_11Mar,19267X153,19267,153,4,87,sample,3/11/21,D14,pre,pretreat,7_LP,7,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,42,HCI,1,G11,NA,exp,NA,153,7206,NA,Original_Lane2,NA,NA,16,3729,1.722997854,2.49471051,16,L040_11Mar,7pre
L040_16Mar,19267X164,19267,164,4,88,sample,3/16/21,D14,pre,pretreat,7_LP,7,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,47,HCI,6,H11,NA,exp,NA,164,3765,NA,Original_Lane2,NA,NA,18,2059,1.65950318,2.530883558,18,L040_16Mar,7pre
L043_11Mar,19267X84,19267,84,4,89,sample,3/11/21,D41,pre,pretreat,8_LP,8,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,42,HCI,1,A12,NA,exp,NA,84,7481,NA,Original_Lane2,NA,NA,14,3830,1.911090148,2.466977234,14,L043_11Mar,8pre
L045_11Mar,19267X96,19267,96,4,90,sample,3/11/21,D41,pre,pretreat,9_LP,9,LP,M,worm,LO,2/1/21,3/23/21,3/10/21,38,HCI,1,B12,NA,exp,NA,96,12664,NA,Original_Lane2,NA,NA,15,6184,1.610867912,2.49471051,15,L045_11Mar,9pre
L051_11Mar,19267X108,19267,108,4,91,sample,3/11/21,D41,pre,pretreat,10_RLP,10,RLP,F,worm,LO,2/1/21,3/23/21,3/10/21,38,HCI,1,C12,NA,exp,NA,108,10041,NA,Original_Lane2,NA,NA,15,5273,1.657870623,2.49471051,15,L051_11Mar,10pre
L053_11Mar,19267X120,19267,120,4,92,sample,3/11/21,D14,pre,pretreat,10_LLP,10,LLP,F,worm,LO,2/1/21,3/23/21,3/10/21,38,HCI,1,D12,NA,exp,NA,120,11735,NA,Original_Lane2,NA,NA,17,5738,1.744784461,2.515653021,17,L053_11Mar,10pre
L3_tube1,19267X117,19267,117,4,68,gavage_control,6/10/21,none,none,other,gavage_control,other,NA,none,other,blank,NA,NA,NA,NA,NA,NA,D9,NA,L3,NA,117,299,685,Rerun,NA,NA,9,68,1.477020954,1.502229237,9,L3_tube1,othernone
L3_tube2,19267X129,19267,129,4,69,gavage_control,6/10/21,none,none,other,gavage_control,other,NA,none,other,blank,NA,NA,NA,NA,NA,NA,E9,NA,L3,NA,129,273,NA,Original_Lane2,NA,NA,8,21,1.954645867,1.616116545,8,L3_tube2,othernone
NTC_2,18684X144,18684,144,6,NA,blank,NA,none,none,other,blank,other,NA,none,other,blank,NA,NA,NA,NA,NA,NA,NA,NA,NTC,PCR_NTC,144,NA,NA,Prerun,NA,NA,1,4,0,NA,1,NTC_2,othernone
PCR_NTC1,19267X185,19267,185,5,51,blank,NA,none,none,other,blank,other,NA,none,other,blank,NA,NA,NA,NA,NA,NA,C7,NA,NTC,NA,185,273,NA,Original_Lane2,NA,NA,9,60,1.648445259,1.65467355,9,PCR_NTC1,othernone
PCR_NTC2,19267X192,19267,192,5,52,blank,NA,none,none,other,blank,other,NA,none,other,blank,NA,NA,NA,NA,NA,NA,D7,NA,NTC,NA,192,462,NA,Original_Lane2,NA,NA,29,127,3.103922145,3.458282114,29,PCR_NTC2,othernone
PCR_NTC3,19267X199,19267,199,5,53,blank,NA,none,none,other,blank,other,NA,none,other,blank,NA,NA,NA,NA,NA,NA,E7,NA,NTC,NA,199,324,NA,Original_Lane2,NA,NA,17,70,2.476336867,2.910123573,17,PCR_NTC3,othernone